"Index","Rank","Comparison","Factor","R2","F_value","p_value","DF","Sum_sq"
"phylo_q1","Phylum","Northern_Crete_vs_Levantine_Sea","season",0.0180211840568727,2.26063854911595,0.232,1,0.0106935639855186
"phylo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.543844251949569,114.280881259313,0.001,1,1.71929031043936
"phylo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","season",0.0659309950694471,13.8544301825931,0.001,1,0.208431955608932
"phylo_q1","Phylum","Levantine_Sea_vs_North_Red_Sea","region",0.2308639688374,22.8021196899764,0.001,1,0.437497340950935
"phylo_q1","Phylum","Levantine_Sea_vs_North_Red_Sea","season",0.0502843625319485,4.96651798356292,0.04,1,0.0952910712309318
"taxo_q0","ASV","Northern_Crete_vs_Levantine_Sea","region",0.155201844530816,16.6246971450424,0.001,1,1.45760904104613
"taxo_q0","ASV","Northern_Crete_vs_Levantine_Sea","season",0.0232636517393127,2.49192376432757,0.012,1,0.218485219718107
"taxo_q0","ASV","Northern_Crete_vs_North_Red_Sea","region",0.232780082285443,27.1880797359794,0.001,1,2.80713701515463
"taxo_q0","ASV","Northern_Crete_vs_North_Red_Sea","season",0.0651487551768717,7.60919720045719,0.001,1,0.785640594129472
"taxo_q0","ASV","Levantine_Sea_vs_North_Red_Sea","region",0.114474897804222,9.975440694093,0.001,1,1.47183797734854
"taxo_q0","ASV","Levantine_Sea_vs_North_Red_Sea","season",0.0707523023421721,6.16541625738709,0.001,1,0.909683498911276
"taxo_q0","Family","Northern_Crete_vs_Levantine_Sea","region",0.152675154870717,16.2768585248965,0.001,1,0.167278709082624
"taxo_q0","Family","Northern_Crete_vs_Levantine_Sea","season",0.0218944582967906,2.3341911817799,0.074,1,0.0239886884218445
"taxo_q0","Family","Northern_Crete_vs_North_Red_Sea","region",0.236688015158044,27.8617574317101,0.001,1,0.625173925371397
"taxo_q0","Family","Northern_Crete_vs_North_Red_Sea","season",0.0667149632603058,7.85335971567006,0.001,1,0.176217014767747
"taxo_q0","Family","Levantine_Sea_vs_North_Red_Sea","region",0.162584425041131,15.3156577377429,0.001,1,0.419602335337868
"taxo_q0","Family","Levantine_Sea_vs_North_Red_Sea","season",0.0837101595216181,7.8856025236158,0.001,1,0.216041471487139
"taxo_q0","Phylum","Northern_Crete_vs_Levantine_Sea","region",0.153560154228489,16.0914865950059,0.001,1,0.0915918109568205
"taxo_q0","Phylum","Northern_Crete_vs_Levantine_Sea","season",0.00666078046743881,0.697979629823684,0.537,1,0.00397285968136489
"taxo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.365735928238452,56.2326167320636,0.001,1,0.683320329670112
"taxo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","season",0.100937546011365,15.5193457915666,0.001,1,0.188586003975002
"taxo_q0","Phylum","Levantine_Sea_vs_North_Red_Sea","region",0.13192155975789,12.3389738322312,0.001,1,0.218595666717031
"taxo_q0","Phylum","Levantine_Sea_vs_North_Red_Sea","season",0.108985271704569,10.1936818980103,0.002,1,0.180589951895048
"taxo_q1","ASV","Northern_Crete_vs_Levantine_Sea","region",0.191895448130586,21.7394949430153,0.001,1,1.93249551646334
"taxo_q1","ASV","Northern_Crete_vs_Levantine_Sea","season",0.0313248023970302,3.54873130100395,0.005,1,0.315458447691611
"taxo_q1","ASV","Northern_Crete_vs_North_Red_Sea","region",0.26717236308318,33.560877042465,0.001,1,3.83366696192298
"taxo_q1","ASV","Northern_Crete_vs_North_Red_Sea","season",0.0800397569963962,10.0542002625793,0.001,1,1.14849368586037
"taxo_q1","ASV","Levantine_Sea_vs_North_Red_Sea","region",0.143541845201037,13.2138003506447,0.001,1,1.88282669702567
"taxo_q1","ASV","Levantine_Sea_vs_North_Red_Sea","season",0.0851833709494893,7.84158832112694,0.001,1,1.11734334153022
"taxo_q1","Family","Northern_Crete_vs_Levantine_Sea","region",0.275016004298487,34.2723830072972,0.001,1,0.372216598206284
"taxo_q1","Family","Northern_Crete_vs_Levantine_Sea","season",0.0188350134987327,2.34721174944993,0.191,1,0.0254919878919436
"taxo_q1","Family","Northern_Crete_vs_North_Red_Sea","region",0.474762153204435,86.0337806022655,0.001,1,2.06573983455385
"taxo_q1","Family","Northern_Crete_vs_North_Red_Sea","season",0.0727353961275011,13.1807075821347,0.001,1,0.316479323696077
"taxo_q1","Family","Levantine_Sea_vs_North_Red_Sea","region",0.218267909478481,20.4283773963885,0.001,1,0.686152496365669
"taxo_q1","Family","Levantine_Sea_vs_North_Red_Sea","season",0.0231294236395279,2.16475521389373,0.186,1,0.072710238567277
"taxo_q1","Phylum","Northern_Crete_vs_Levantine_Sea","region",0.280061115827596,35.0143185042779,0.001,1,0.175251731863487
"taxo_q1","Phylum","Northern_Crete_vs_Levantine_Sea","season",0.0160731730686044,2.00952995397242,0.297,1,0.0100579882662058
"taxo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.536585511204596,111.779713409876,0.001,1,1.77774548938205
"taxo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","season",0.0697830276246544,14.5369687885275,0.007,1,0.231196072209729
"taxo_q1","Phylum","Levantine_Sea_vs_North_Red_Sea","region",0.223762534207536,22.0614500999043,0.001,1,0.446451234440082
"taxo_q1","Phylum","Levantine_Sea_vs_North_Red_Sea","season",0.0561062025803497,5.53168649481543,0.032,1,0.11194315210298
