"Facet","Rank","Order","Species","North Red Sea","Levantine Sea","Northern Crete","Change in dissimilarity red_levant","Change in dissimilarity red_crete"
"func","lev_3","q1","Siganus_rivulatus__Siganus_rivulatus",0.0947087853696243,0.0273430922875664,0.0310329472370705,-71.1292968431036,-67.2332961340843
"phylo","ASV","q0","Siganus_rivulatus__Siganus_rivulatus",0.455653291419599,0.3575305401146,0.25216776572687,-21.534520468248,-44.6579734031471
"phylo","Family","q0","Siganus_rivulatus__Siganus_rivulatus",0.217402083788904,0.11020285524486,0.0747902288531474,-49.309200112421,-65.5982005555345
"phylo","Phylum","q0","Siganus_rivulatus__Siganus_rivulatus",0.169326462320004,0.0887609588051767,0.0372169257137623,-47.5799839026753,-78.0206087082672
"phylo","ASV","q1","Siganus_rivulatus__Siganus_rivulatus",0.312690440676459,0.155194110626075,0.125157400315791,-50.368130765259,-59.9740241354896
"phylo","Family","q1","Siganus_rivulatus__Siganus_rivulatus",0.245023412357308,0.106078624558666,0.0853874091105579,-56.7067393527377,-65.1513264430255
"phylo","Phylum","q1","Siganus_rivulatus__Siganus_rivulatus",0.210032705027609,0.0713897568727869,0.0669391672061141,-66.0101711952895,-68.129169598937
"taxo","ASV","q0","Siganus_rivulatus__Siganus_rivulatus",0.60335515637949,0.495564965485332,0.326623200181982,-17.8651313002721,-45.8655160681934
"taxo","Family","q0","Siganus_rivulatus__Siganus_rivulatus",0.266932622672483,0.135349620482054,0.106451461175489,-49.2944627273517,-60.1204753058225
"taxo","Phylum","q0","Siganus_rivulatus__Siganus_rivulatus",0.205972073084373,0.105354218431141,0.0519819004524887,-48.8502412713081,-74.7626463752709
"taxo","ASV","q1","Siganus_rivulatus__Siganus_rivulatus",0.611535758585318,0.454528403257981,0.365053925492712,-25.674272211088,-40.3053835580767
"taxo","Family","q1","Siganus_rivulatus__Siganus_rivulatus",0.27891447085845,0.129128314626425,0.103119699154635,-53.7032574075519,-63.0282004238608
"taxo","Phylum","q1","Siganus_rivulatus__Siganus_rivulatus",0.217098906144177,0.0731512234401356,0.0689515119283849,-66.3051165299031,-68.2395857478003
