"Index","Species","C_number","Comparison","Factor","R2","F_value","p_value","DF","Sum_sq"
"q1","Siganus_rivulatus","C2","Northern_Crete_vs_North_Red_Sea","season",0.0525783960368662,5.26366939605177,0.029,1,0.0184090295134095
"q1","Siganus_rivulatus","C2","Levantine_Sea_vs_North_Red_Sea","region",0.143076610458442,11.9500840473194,0.001,1,0.0464872889890958
"q1","Siganus_rivulatus","C2","Levantine_Sea_vs_North_Red_Sea","season",0.0068507622424995,0.572191250014625,0.473,1,0.0022258939678695
"q1","Siganus_rivulatus","C3","Northern_Crete_vs_Levantine_Sea","region",0.0976827271067179,9.44715016888568,0.001,1,0.0037309098998753
"q1","Siganus_rivulatus","C3","Northern_Crete_vs_Levantine_Sea","season",-0.00759522259159733,-0.734553697610664,0.894,1,-0.000290093161790916
"q1","Siganus_rivulatus","C3","Northern_Crete_vs_North_Red_Sea","region",0.474304505837799,91.7381752823543,0.001,1,0.121678036624774
"q1","Siganus_rivulatus","C3","Northern_Crete_vs_North_Red_Sea","season",0.101739280088903,19.6780249713423,0.001,1,0.0261001860544609
"q1","Siganus_rivulatus","C3","Levantine_Sea_vs_North_Red_Sea","region",0.387937551082136,59.7409746348693,0.001,1,0.0934984625463396
"q1","Siganus_rivulatus","C3","Levantine_Sea_vs_North_Red_Sea","season",0.151012620133265,23.2553953175222,0.001,1,0.0363961873970928
"q1","Siganus_rivulatus","C4","Northern_Crete_vs_Levantine_Sea","region",0.019062633133116,1.74198558620675,0.279,1,0.00323267136770161
"q1","Siganus_rivulatus","C4","Northern_Crete_vs_Levantine_Sea","season",0.0179490798242432,1.64022662143082,0.26,1,0.00304383324272354
"q1","Siganus_rivulatus","C4","Northern_Crete_vs_North_Red_Sea","region",0.423580272425996,63.9020892049541,0.001,1,0.284121685905118
"q1","Siganus_rivulatus","C4","Northern_Crete_vs_North_Red_Sea","season",0.0328759597399017,4.95972699570119,0.045,1,0.0220519550014728
"q1","Siganus_rivulatus","C4","Levantine_Sea_vs_North_Red_Sea","region",0.291511912374281,28.9916938169412,0.001,1,0.132553706163771
"q1","Siganus_rivulatus","C4","Levantine_Sea_vs_North_Red_Sea","season",-0.00541796799354961,-0.538832419916008,0.907,1,-0.00246361025720146
"q1","Siganus_rivulatus","C5","Northern_Crete_vs_Levantine_Sea","region",0.0764603247462366,7.67780707295598,0.006,1,0.0165335214639796
"q1","Siganus_rivulatus","C5","Northern_Crete_vs_Levantine_Sea","season",0.0471815545386617,4.73776268087098,0.028,1,0.0102023794334889
"q1","Siganus_rivulatus","C5","Northern_Crete_vs_North_Red_Sea","region",0.392151585537595,56.0851293262378,0.001,1,0.362779981992242
"q1","Siganus_rivulatus","C5","Northern_Crete_vs_North_Red_Sea","season",0.0344980379832092,4.933875045124,0.037,1,0.0319141833410144
"q1","Siganus_rivulatus","C5","Levantine_Sea_vs_North_Red_Sea","region",0.270318958372658,28.3399124954023,0.001,1,0.20613417824021
"q1","Siganus_rivulatus","C5","Levantine_Sea_vs_North_Red_Sea","season",0.0524507909138873,5.49887745115165,0.028,1,0.039996827259811
